No.,Kode Obat,Nama Obat,Golongan Obat,Kategori Obat,Frekuensi,Jumlah Terjual,Satuan,Total Nominal,Persentase,Persentase Kumulatif,Kategori Pareto,Stok,Kebutuhan Perperiode,Jumlah Pengadaan,Harga Beli,Nama Supllier,Status,Transaksi Terakhir
963,H000000000001,H Booster Syr 50 ml,Obat Bebas Terbatas,,3,"3,00",Botol,"65.896,26","0,02%","92,69%",Pareto C,3,"3,00","0,00","17.394,00",Langkah Insan Mandiri PT,Stock On Hand,26 Sep 2022 
964,0001208,D5 Otsu,Obat Keras,,2,"3,00",Botol,"65.861,85","0,02%","92,71%",Pareto C,12,"3,00","-9,00","14.943,00",Merapi Utama Pharma PT,Over Stock,27 Sep 2022 
965,Stim3,Stimuno Forte /10s,Obat Bebas Terbatas,,2,"2,00",Strip,"65.804,13","0,02%","92,73%",Pareto C,3,"2,00","-1,00","24.750,00",AAM (Anugrah Argon Medica),Over Stock,11 Sep 2022 
966,P000000000039,Pipet Drop,Alat Kesehatan,,10,"13,00",PC,"65.727,54","0,02%","92,76%",Pareto C,10,"13,00","3,00","3.500,00",Dwidaya Langgeng Sentosa,Under Stock,26 Sep 2022 
967,KONSI10,Habbatussauda Myk Innolive 100(K),Konsinyasi,,1,"1,00",Botol,"65.628,75","0,02%","92,78%",Pareto C,4,"1,00","-3,00","60.000,00",Al Manna,Over Stock,22 Sep 2022 
968,0000635,Diabetasol Sweetener 100s,Obat Bebas Terbatas,,1,"1,00",Box,"65.565,48","0,02%","92,80%",Pareto C,1,"1,00","0,00","49.250,00",Enseval Putra Megatranding PT,Stock On Hand,22 Sep 2022 
969,ALCO2,Alco Plus DMP 100 ml,Obat Bebas Terbatas,,1,"1,00",Botol,"65.563,26","0,02%","92,82%",Pareto C,0,"1,00","1,00","49.500,00",MULIA PRATAMA FIMADANI,Potential Lost,13 Sep 2022 
970,Strep,Strepsils Regular Merah,Obat Bebas Terbatas,,3,"4,00",SACHET,"65.185,86","0,02%","92,84%",Pareto C,12,"4,00","-8,00","12.911,92",Sumber Agung Sentosa,Over Stock,27 Sep 2022 
971,L000000000002,Lamandel Sachet,Obat Bebas Terbatas,,4,"26,00",SACHET,"64.948,32","0,02%","92,86%",Pareto C,15,"26,00","11,00","1.875,00",Adikara Kelapa,Under Stock,28 Sep 2022 
972,0001264,Proris Triple Action,Obat Bebas Terbatas,,8,"63,00",Tablet,"64.942,77","0,02%","92,88%",Pareto C,49,"63,00","14,00","770,00",AMS (Antarmitra Sembada),Under Stock,27 Sep 2022 
973,E000000000025,Egoji Gummy Blackcurrant,Obat Bebas Terbatas,,7,"7,00",SACHET,"64.902,81","0,02%","92,90%",Pareto C,7,"7,00","0,00","7.000,00",AMS (Antarmitra Sembada),Stock On Hand,27 Sep 2022 
974,BODR3,Bodrex Migra/Strp,Obat Bebas Terbatas,,16,"27,00",Strip,"64.690,80","0,02%","92,92%",Pareto C,34,"27,00","-7,00","1.781,00",Tempo PT,Over Stock,30 Sep 2022 
975,C-FENC1,"C Fenicol 0,25% 5 ml",Obat Keras,,2,"2,00",Botol,"64.627,53","0,02%","92,94%",Pareto C,0,"2,00","2,00","21.875,00",Penta Valen,Potential Lost,27 Sep 2022 
976,OBT2206080001,Nutrafor WB Glam Coffee,,,1,"5,00",SACHET,"64.572,03","0,02%","92,96%",Pareto C,5,"5,00","0,00","10.000,00",AMS (Antarmitra Sembada),Stock On Hand,07 Sep 2022 
977,NEO EN,Neo Entrostop/12,Obat Bebas Terbatas,,7,"8,00",Strip,"64.504,32","0,02%","92,98%",Pareto C,8,"8,00","0,00","5.940,50",Muda Jaya Sukses,Stock On Hand,23 Sep 2022 
978,ITN1,Intunal /Strip,Obat Bebas Terbatas,,11,"20,00",Strip,"64.494,33","0,02%","93,00%",Pareto C,21,"20,00","-1,00","2.300,00",Combi Putra PT,Over Stock,26 Sep 2022 
979,ENERCP2,ENERVON  C Plus 120 ml,Obat Bebas Terbatas,,3,"3,00",Botol,"64.332,27","0,02%","93,02%",Pareto C,3,"3,00","0,00","16.190,00",Barotama Mulya Perkasa,Stock On Hand,18 Sep 2022 
980,louhankuo30,Lo han Kuo,Obat Bebas Terbatas,,2,"2,00",Botol,"64.239,03","0,02%","93,04%",Pareto C,2,"2,00","0,00","23.000,00",Adikara Kelapa,Stock On Hand,25 Sep 2022 
981,BATUG,Batugin Elixir 300 ml,Obat Bebas Terbatas,,1,"1,00",Botol,"64.239,03","0,02%","93,06%",Pareto C,3,"1,00","-2,00","39.921,62",Salasa Barokah Farma PT,Over Stock,18 Sep 2022 
982,T000000000069,Tissue Tessa TP-09,Alat Kesehatan,,10,"11,00",PC,"64.128,03","0,02%","93,08%",Pareto C,11,"11,00","0,00","4.877,00",Lain-lain Suplayer,Stock On Hand,30 Sep 2022 
983,CEFD2,Cefadroxil 500 Mg/10,Obat Keras,,4,"5,00",Strip,"63.924,90","0,02%","93,10%",Pareto C,21,"5,00","-16,10","6.500,00",Barotama Mulya Perkasa,Over Stock,24 Sep 2022 
984,OBHC7,OBH Combi Anak 60 ml Apel,Obat Bebas Terbatas,,4,"4,00",Botol,"63.900,48","0,02%","93,12%",Pareto C,4,"4,00","0,00","12.150,00",APL ID 293873,Stock On Hand,28 Sep 2022 
985,ADLN1,Andalan Laktasi,Obat Keras,,4,"4,00",Strip,"63.487,56","0,02%","93,14%",Pareto C,3,"4,00","1,00","10.262,00",Sumber Agung Sentosa,Under Stock,14 Sep 2022 
986,0000396,Procold Flu Batuk PE,Obat Bebas Terbatas,,11,"16,00",Strip,"63.455,37","0,02%","93,16%",Pareto C,24,"16,00","-8,00","2.973,50",Muda Jaya Sukses,Over Stock,30 Sep 2022 
987,CURVT2,Curvit CL Syr,Obat Bebas Terbatas,,1,"1,00",Botol,"63.444,27","0,02%","93,18%",Pareto C,2,"1,00","-1,00","47.900,00",PT Parit Padang Global,Over Stock,26 Sep 2022 
988,A000000000004,Acarbose 50 mg,Obat Keras,,2,"40,00",Tablet,"63.336,60","0,02%","93,20%",Pareto C,137,"40,00","-97,00","1.078,00",AAM (Anugrah Argon Medica),Over Stock,15 Sep 2022 
989,I000000000037,IMBOOST EFFERVESCENT/STRIP (2 TABLE,Obat Bebas Terbatas,,4,"6,00",Strip,"62.877,06","0,02%","93,22%",Pareto C,8,"6,00","-2,00","8.000,00",KDE (Ka Dua Empat PT),Over Stock,30 Sep 2022 
990,H000000000034,Hot In Cream Strong TUBE MERAH 60g,Obat Bebas Terbatas,,3,"3,00",Tube,"62.756,07","0,02%","93,24%",Pareto C,6,"3,00","-3,00","15.700,00",Mensa Bina Sukses PT,Over Stock,22 Sep 2022 
991,Ondan,Ondansentron 4 mg,Obat Keras,,3,"29,00",Tablet,"62.629,53","0,02%","93,26%",Pareto C,69,"29,00","-40,00","1.400,00",AMS (Antarmitra Sembada),Over Stock,14 Sep 2022 
992,0000420,Madu TJ Murni 500 Gr,Obat Bebas Terbatas,,1,"1,00",Botol,"62.495,22","0,02%","93,28%",Pareto C,2,"1,00","-1,00","47.100,00",Mensa Bina Sukses PT,Over Stock,21 Sep 2022 
993,0000621,Madu Kurma TJ 150 ml,Obat Bebas Terbatas,,3,"3,00",Botol,"62.457,48","0,02%","93,30%",Pareto C,2,"3,00","1,00","15.800,00",Combi Putra PT,Under Stock,30 Sep 2022 
994,0000109,Hot In Cream BOTOL PUTIH 120 ml,Obat Bebas Terbatas,,2,"2,00",Botol,"62.251,02","0,02%","93,32%",Pareto C,2,"2,00","0,00","23.500,00",Langkah Insan Mandiri PT,Stock On Hand,19 Sep 2022 
995,0000848,Sari Kurma Sahara Plus Jambu Merah,Obat Bebas Terbatas,,2,"2,00",Botol,"62.251,02","0,02%","93,34%",Pareto C,1,"2,00","1,00","23.500,00",Adikara Kelapa,Under Stock,30 Sep 2022 
996,NGTT1,NGT no.16 TERUMO,Alat Kesehatan,,1,"2,00",PC,"62.160,00","0,02%","93,36%",Pareto C,3,"2,00","-1,00","23.425,00",Dwidaya Langgeng Sentosa,Over Stock,17 Sep 2022 
997,ASTRX,Asam Traneksamat 500mg,Obat Keras,,3,"25,00",Tablet,"61.926,90","0,02%","93,37%",Pareto C,91,"25,00","-66,00","1.650,00",Enseval Putra Megatranding PT,Over Stock,24 Sep 2022 
998,Genta,Gentasolon 5 gr,Obat Keras,,2,"2,00",Tube,"61.842,54","0,02%","93,39%",Pareto C,3,"2,00","-1,00","21.000,00",KDE (Ka Dua Empat PT),Over Stock,12 Sep 2022 
999,HERCY3,Herocyn bedak 150 Gr,Obat Bebas Terbatas,,3,"3,00",Botol,"61.752,63","0,02%","93,41%",Pareto C,2,"3,00","1,00","15.873,00",Mulya Wibawa PT,Under Stock,25 Sep 2022 
1000,FreshC3,Fresh Care Green Tea,Obat Bebas Terbatas,,4,"4,00",PC,"61.633,86","0,02%","93,43%",Pareto C,9,"4,00","-5,00","11.560,00",Mensa Bina Sukses PT,Over Stock,19 Sep 2022 
1001,0000478,Zyloric 100mg,Obat Keras,,2,"20,00",Tablet,"61.627,20","0,02%","93,45%",Pareto C,116,"20,00","-96,00","2.093,03",Langkah Insan Mandiri PT,Over Stock,10 Sep 2022 
1002,OBT2206200003,Orthodentic Shooter HUKI,,,3,"3,00",Pcs,"61.408,53","0,02%","93,47%",Pareto C,2,"3,00","1,00","15.454,50",Distriversa Buana Mas PT,Under Stock,17 Sep 2022 
1003,TONI2,Tonikum Bayer 330,Obat Bebas Terbatas,,1,"2,00",Botol,"61.318,62","0,02%","93,49%",Pareto C,2,"2,00","0,00","27.265,00",Langkah Insan Mandiri PT,Stock On Hand,29 Sep 2022 
1004,OBT2203280001,Abbocath 24,,,2,"3,00",Pcs,"61.316,40","0,02%","93,51%",Pareto C,3,"3,00","0,00","18.025,00",Via Medica Alkes,Stock On Hand,23 Sep 2022 
1005,0001187,C Eyefresh MD,Obat Bebas Terbatas,,2,"2,00",Strip,"61.258,68","0,02%","93,53%",Pareto C,5,"2,00","-3,00","23.125,00",Langkah Insan Mandiri PT,Over Stock,28 Sep 2022 
1006,BETAS1,Betason Cr,Obat Keras,,4,"5,00",Tube,"61.094,40","0,02%","93,55%",Pareto C,3,"5,00","2,00","7.950,00",Barotama Mulya Perkasa,Under Stock,28 Sep 2022 
1007,Habba1,Habbasyifa 90,Obat Bebas Terbatas,,1,"1,00",Botol,"61.038,90","0,02%","93,57%",Pareto C,4,"1,00","-3,00","46.000,00",Adikara Kelapa,Over Stock,10 Sep 2022 
1008,parasol,Parasol Cream 20 G,Obat Bebas Terbatas,,1,"1,00",Tube,"61.034,46","0,02%","93,59%",Pareto C,1,"1,00","0,25","46.500,00",AMS (Antarmitra Sembada),Under Stock,06 Sep 2022 
1009,Asp01,Sabun Asepso Orig,Obat Bebas Terbatas,,5,"7,00",PC,"60.880,17","0,02%","93,61%",Pareto C,5,"7,00","2,00","6.554,00",Muda Jaya Sukses,Under Stock,24 Sep 2022 
1010,0000482,Spironolactone 25mg,Obat Keras,,4,"90,00",Tablet,"60.872,40","0,02%","93,62%",Pareto C,85,"90,00","5,00","440,00",Barotama Mulya Perkasa,Under Stock,25 Sep 2022 
1011,FEBR4,Febrinex 60 ml,Obat Bebas Terbatas,,3,"3,00",Botol,"60.854,64","0,02%","93,64%",Pareto C,2,"3,00","1,00","14.414,00",Apotek UII Farma,Under Stock,12 Sep 2022 
1012,N000000000026,Nystatin Drop,Obat Keras,,2,"2,00",Botol,"60.561,60","0,02%","93,66%",Pareto C,2,"2,00","0,00","20.000,00",AMS (Antarmitra Sembada),Stock On Hand,22 Sep 2022 
1013,0000752,Benecol No Sugar Blackcurrant,Minuman,,3,"8,00",Botol,"60.437,28","0,02%","93,68%",Pareto C,9,"8,00","-1,00","5.704,00",Enseval Putra Megatranding PT,Over Stock,25 Sep 2022 
1014,A000000000032,Amlodipin 10 mg Novell strip/10s,Obat Keras,,3,"6,00",Strip,"60.006,60","0,02%","93,70%",Pareto C,42,"6,00","-36,00","5.766,33",Kalista Prima PT,Over Stock,21 Sep 2022 
1015,KONSI6,Cuka Apelku(K),Konsinyasi,,1,"1,00",Botol,"59.995,50","0,02%","93,72%",Pareto C,0,"1,00","1,00","50.000,00",KasT2RI,Potential Lost,14 Sep 2022 
1016,PROTC,Protecal Defense Sachet,Obat Bebas Terbatas,,5,"16,00",SACHET,"59.975,52","0,02%","93,74%",Pareto C,36,"16,00","-20,00","2.830,00",Langkah Insan Mandiri PT,Over Stock,30 Sep 2022 
1017,0000126,Farmacrol F Susp 100ml,Obat Bebas Terbatas,,1,"1,00",Botol,"59.935,56","0,02%","93,76%",Pareto C,1,"1,00","0,00","50.000,00",KDE (Ka Dua Empat PT),Stock On Hand,05 Sep 2022 
1018,ORALI,Oralit 200 Sach,Obat Bebas Terbatas,,8,"54,00",SACHET,"59.911,14","0,02%","93,77%",Pareto C,41,"54,00","13,00","831,87",Kimia Farma PT,Under Stock,29 Sep 2022 
1019,MUCL1,GPU 30 ml linim lang,Obat Bebas Terbatas,,6,"6,00",Botol,"59.863,41","0,02%","93,79%",Pareto C,7,"6,00","-1,00","7.500,00",Langkah Insan Mandiri PT,Over Stock,24 Sep 2022 
1020,O000000000030,OVACARE tab,Obat Bebas Terbatas,,1,"6,00",Tablet,"59.829,00","0,02%","93,81%",Pareto C,25,"6,00","-19,00","7.525,00",Dos Ni Roha PT,Over Stock,27 Sep 2022 
1021,KONSI3,Angkakku KasT2Ri(K),Konsinyasi,,1,"1,00",Botol,"59.662,50","0,02%","93,83%",Pareto C,0,"1,00","1,00","50.000,00",KasT2RI,Potential Lost,06 Sep 2022 
1022,TK,Tutup Kepala/5,Alat Kesehatan,,2,"22,00",PC,"59.609,22","0,02%","93,85%",Pareto C,46,"22,00","-24,00","2.045,50",Dwidaya Langgeng Sentosa,Over Stock,16 Sep 2022 
1023,0000877,Cuka Apel Tahesta,Obat Bebas Terbatas,,1,"1,00",Botol,"59.602,56","0,02%","93,87%",Pareto C,1,"1,00","0,00","45.000,00",Adikara Kelapa,Stock On Hand,06 Sep 2022 
1024,0001497,Madu TJ Joybee Original 100 ml,Obat Bebas Terbatas,,4,"4,00",Botol,"59.602,56","0,02%","93,89%",Pareto C,5,"4,00","-1,00","11.100,00",Mensa Bina Sukses PT,Over Stock,25 Sep 2022 
1025,OBT2209130001,KAPSUL KUTUK HI FIT,Obat Bebas,Obat Herbal,1,"1,00",Botol,"59.602,56","0,02%","93,91%",Pareto C,1,"1,00","0,00","45.000,00",Adikara Kelapa,Stock On Hand,22 Sep 2022 
1026,CAVIT,Cavit D3,Obat Bebas Terbatas,,2,"20,00",Tablet,"59.584,80","0,02%","93,92%",Pareto C,140,"20,00","-120,00","2.236,91",APL ID 293873,Over Stock,20 Sep 2022 
1027,CURCU8,Curcuma Plus Sharpy Jeruk 60 ml/DHA,Obat Bebas Terbatas,,3,"4,00",Botol,"59.453,82","0,02%","93,94%",Pareto C,4,"4,00","0,00","12.400,00",PT Parit Padang Global,Stock On Hand,17 Sep 2022 
1028,D000000000027,Durex Performa 6S,Obat Bebas Terbatas,,1,"1,00",PC,"59.451,60","0,02%","93,96%",Pareto C,1,"1,00","0,00","44.634,27",BSP (Bina San Prima),Stock On Hand,21 Sep 2022 
1029,POT1,Pot 15 Gr,Obat Bebas Terbatas,,5,"12,00",PC,"59.422,74","0,02%","93,98%",Pareto C,2,"12,00","10,00","3.500,00",,Under Stock,27 Sep 2022 
1030,0000229,Pristine 400ml,Minuman,,21,"21,00",Botol,"59.299,53","0,02%","94,00%",Pareto C,1,"21,00","20,00","2.064,34",Sinar Mas Distribusi Nusantara,Under Stock,28 Sep 2022 
1031,0001074,Oligocare tab,Obat Bebas Terbatas,,1,"6,00",KAPSUL,"59.274,00","0,02%","94,02%",Pareto C,8,"6,00","-2,00","7.525,00",Dos Ni Roha PT,Over Stock,27 Sep 2022 
1032,COUNT5,Counterpain Cool 15g,Obat Bebas Terbatas,,2,"2,00",Tube,"59.238,48","0,02%","94,04%",Pareto C,3,"2,00","-1,00","22.300,00",Enseval Putra Megatranding PT,Over Stock,24 Sep 2022 
1033,N000000000008,Nescafe Latte Kaleng,Minuman,,6,"6,00",KALENG,"59.129,70","0,02%","94,05%",Pareto C,3,"6,00","3,00","7.438,00",Enseval Putra Megatranding PT,Under Stock,30 Sep 2022 
1034,OBT2208190001,Nescafe Mocca Kaleng,,,6,"6,00",KALENG,"59.107,50","0,02%","94,07%",Pareto C,4,"6,00","2,00","7.438,00",Enseval Putra Megatranding PT,Under Stock,23 Sep 2022 
1035,0000712,Hansaplast Koyo Hangat 10,Obat Bebas Terbatas,,7,"8,00",SACHET,"59.070,87","0,02%","94,09%",Pareto C,23,"8,00","-15,00","5.548,00",Bintang Maahir Sentosa,Over Stock,27 Sep 2022 
1036,SAK100,SAKATONIK AKTIVE SYR 100ml,Obat Bebas Terbatas,,4,"5,00",Botol,"58.937,67","0,02%","94,11%",Pareto C,2,"5,00","3,00","9.189,00",Apotek UII Farma,Under Stock,26 Sep 2022 
1037,0000821,Cerini Syr,Obat Keras,,1,"1,00",Botol,"58.919,91","0,02%","94,13%",Pareto C,3,"1,00","-2,00","40.800,00",BSP (Bina San Prima),Over Stock,02 Sep 2022 
1038,OBT2207200005,Mecobalamine Caps LAPI 500 mg,,,2,"40,00",KAPSUL,"58.918,80","0,02%","94,15%",Pareto C,20,"40,00","20,00","1.000,00",Kalista Prima PT,Under Stock,27 Sep 2022 
1039,OBT2209050001,Capsul Kosong 3,,,1,"1.000,00",KAPSUL,"58.830,00","0,02%","94,16%",Pareto C,"1,000","1.000,00","0,00","40,61",Mutiara Mas Medika,Stock On Hand,09 Sep 2022 
1040,PROT1,Protecal Solid Sachet,Obat Bebas Terbatas,,7,"16,00",SACHET,"58.770,06","0,02%","94,18%",Pareto C,15,"16,00","1,00","2.750,00",MULIA PRATAMA FIMADANI,Under Stock,27 Sep 2022 
1041,MUCOH,Mucohexin/strip,Obat Bebas Terbatas,,7,"21,00",Strip,"58.572,48","0,02%","94,20%",Pareto C,39,"21,00","-18,00","2.100,00",BSP (Bina San Prima),Over Stock,24 Sep 2022 
1042,IFREEHAID001,I Free Terapi Haid,Obat Bebas Terbatas,,3,"3,00",Box,"58.477,02","0,02%","94,22%",Pareto C,2,"3,00","1,00","14.700,00",Adikara Kelapa,Under Stock,29 Sep 2022 
1043,KOND,Konidin/Strip,Obat Bebas Terbatas,,13,"22,00",Strip,"58.231,71","0,02%","94,24%",Pareto C,51,"22,00","-29,00","1.930,00",Mulya Wibawa PT,Over Stock,24 Sep 2022 
1044,HB200,Herocyn Baby 200g,Obat Bebas Terbatas,,2,"4,00",Botol,"58.079,64","0,02%","94,26%",Pareto C,3,"4,00","1,00","10.900,00",KDE (Ka Dua Empat PT),Under Stock,15 Sep 2022 
1045,GLIM,Glimepiride DEXA 2 mg/10,Obat Keras,,2,"3,00",Strip,"58.070,76","0,02%","94,27%",Pareto C,15,"3,00","-12,00","13.029,80",AAM (Anugrah Argon Medica),Over Stock,21 Sep 2022 
1046,PROMUB1,Promuba Syr 60ml,Obat Keras,,1,"1,00",Botol,"58.035,24","0,02%","94,29%",Pareto C,1,"1,00","0,00","39.000,00",Penta Valen,Stock On Hand,09 Sep 2022 
1047,0000900,Anakonidin OBH 60 ml,Obat Bebas Terbatas,,4,"4,00",Botol,"58.026,36","0,02%","94,31%",Pareto C,6,"4,00","-2,00","10.890,00",Mulya Wibawa PT,Over Stock,24 Sep 2022 
1048,KOMX2,Komix Jeruk Nipis,Obat Bebas Terbatas,,11,"36,00",SACHET,"57.968,64","0,02%","94,33%",Pareto C,55,"36,00","-19,00","1.196,97",Mulya Wibawa PT,Over Stock,26 Sep 2022 
1049,Acfe1,Acne Feldin Lotion 110 ml,Obat Bebas Terbatas,,1,"1,00",Botol,"57.933,12","0,02%","94,35%",Pareto C,1,"1,00","0,00","36.500,00",AMS (Antarmitra Sembada),Stock On Hand,29 Sep 2022 
1050,F000000000005,Fenofibrate 100 mg Hexpharm Jaya,Obat Keras,,1,"20,00",Tablet,"57.831,00","0,02%","94,37%",Pareto C,44,"20,00","-24,00","2.000,00",Enseval Putra Megatranding PT,Over Stock,07 Sep 2022 
1051,BEta,Betamethason 0.1%,Obat Keras,,9,"15,00",Tube,"57.720,00","0,02%","94,38%",Pareto C,30,"15,00","-15,00","2.300,00",Barotama Mulya Perkasa,Over Stock,30 Sep 2022 
1052,OBT2206090001,Dohixat 100mg,,,3,"88,00",KAPSUL,"57.364,80","0,02%","94,40%",Pareto C,27,"88,00","61,00","390,62",Putra Perdana Khadijah,Under Stock,26 Sep 2022 
1053,0001412,Pantoprazole 40 mg,Obat Keras,,1,"5,00",Tablet,"57.276,00","0,02%","94,42%",Pareto C,44,"5,00","-39,00","8.000,00",AAM (Anugrah Argon Medica),Over Stock,10 Sep 2022 
1054,EVA1,"Evalen Gel 0,1% 10G",Obat Keras,,1,"1,00",Tube,"57.276,00","0,02%","94,44%",Pareto C,1,"1,00","0,00","40.000,00",KDE (Ka Dua Empat PT),Stock On Hand,07 Sep 2022 
1055,D000000000026,Desoxymetasone Oint 15gr,Obat Keras,,2,"2,00",Tube,"57.020,70","0,02%","94,45%",Pareto C,9,"2,00","-7,00","19.338,00",AMS (Antarmitra Sembada),Over Stock,09 Sep 2022 
1056,0000904,Trolit Sachet,Obat Bebas Terbatas,,1,"4,00",SACHET,"56.987,40","0,02%","94,47%",Pareto C,4,"4,00","0,00","10.833,33",,Stock On Hand,06 Sep 2022 
1057,CODUR3,DUREX EXTRASAFE 3s,Obat Bebas Terbatas,,2,"2,00",PC,"56.976,30","0,02%","94,49%",Pareto C,3,"2,00","-1,00","21.508,41",BSP (Bina San Prima),Over Stock,09 Sep 2022 
1058,M000000000104,Mamapads 24s,Alat Kesehatan,,2,"2,00",Box,"56.954,10","0,02%","94,51%",Pareto C,2,"2,00","0,00","21.500,00",Enseval Putra Megatranding PT,Stock On Hand,22 Sep 2022 
1059,C000000000098,Cimory Fresh Milk UHT 250ml,Minuman,,8,"8,00",Botol,"56.918,58","0,02%","94,53%",Pareto C,10,"8,00","-2,00","6.000,00",Lain-lain Suplayer,Over Stock,29 Sep 2022 
1060,GLG01,Balsem Geliga 40 GR,Obat Bebas Terbatas,,1,"3,00",POT,"56.515,65","0,02%","94,54%",Pareto C,2,"3,00","1,00","14.167,00",Langkah Insan Mandiri PT,Under Stock,01 Sep 2022 
1061,E000000000008,Egoji Gummy Orange,Obat Bebas Terbatas,,6,"6,00",SACHET,"56.404,65","0,02%","94,56%",Pareto C,16,"6,00","-10,00","7.000,00",AMS (Antarmitra Sembada),Over Stock,30 Sep 2022 
1062,0001078,Ice Bag,Alat Kesehatan,,2,"2,00",PC,"56.194,86","0,02%","94,58%",Pareto C,2,"2,00","0,00","21.172,00",Mutiara Mas Medika,Stock On Hand,30 Sep 2022 
1063,0000391,We Care XL2,Alat Kesehatan,,3,"3,00",PC,"56.110,50","0,02%","94,60%",Pareto C,2,"3,00","1,00","14.100,00",Dwidaya Langgeng Sentosa,Under Stock,26 Sep 2022 
1064,F000000000021,Flamar TM,Obat Keras,,1,"1,00",Botol,"55.833,00","0,02%","94,61%",Pareto C,2,"1,00","-1,00","38.600,00",BSP (Bina San Prima),Over Stock,19 Sep 2022 
1065,DEETO07,Dettol Cair 100 cc,Obat Bebas Terbatas,,2,"2,00",Botol,"55.708,68","0,02%","94,63%",Pareto C,5,"2,00","-3,00","20.882,94",MULIA PRATAMA FIMADANI,Over Stock,06 Sep 2022 
1066,CARD,CARDIO ASPIRIN,Obat Keras,,2,"20,00",Tablet,"55.677,60","0,02%","94,65%",Pareto C,46,"20,00","-26,00","1.886,37",Langkah Insan Mandiri PT,Over Stock,29 Sep 2022 
1067,CLDM3,Clindamycin 150,Obat Keras,,3,"45,00",KAPSUL,"55.579,92","0,02%","94,67%",Pareto C,99,"45,00","-54,00","724,00",Kalista Prima PT,Over Stock,29 Sep 2022 
1068,0000106,Cotton Buds Huki Baby 150S,Obat Bebas Terbatas,,7,"7,00",PC,"55.389,00","0,02%","94,68%",Pareto C,16,"7,00","-9,00","5.818,00",Distriversa Buana Mas PT,Over Stock,29 Sep 2022 
1069,MEP 4,Meptin Mini 0.025,Obat Keras,,2,"9,00",Tablet,"55.157,01","0,02%","94,70%",Pareto C,2,"9,00","7,00","2.573,00",Apotek UII Farma,Under Stock,13 Sep 2022 
1070,ANT C,Antangin JRG Tab/Strip,Obat Bebas Terbatas,,7,"15,00",Strip,"55.083,75","0,02%","94,72%",Pareto C,36,"15,00","-21,00","2.761,00",Victory Indo Partnership PT,Over Stock,28 Sep 2022 
1071,0000210,Glaucon Tablet,Obat Keras,,1,"10,00",Tablet,"55.056,00","0,02%","94,74%",Pareto C,36,"10,00","-26,00","3.800,00",,Over Stock,25 Sep 2022 
1072,POT15,POT Kosmetik 15 gr,Obat Bebas Terbatas,,8,"10,00",PC,"54.982,74","0,02%","94,75%",Pareto C,11,"10,00","-1,00","3.500,00",Dwidaya Langgeng Sentosa,Over Stock,30 Sep 2022 
1073,ACTRLA,Acitral Syr 120 Ml,Obat Bebas Terbatas,,1,"1,00",Botol,"54.967,20","0,02%","94,77%",Pareto C,2,"1,00","-1,00","41.500,00",Mensa Bina Sukses PT,Over Stock,18 Sep 2022 
1074,pirotop,Pirotop Cr 5 G,Obat Keras,,1,"1,00",Tube,"54.669,72","0,02%","94,79%",Pareto C,2,"1,00","-1,00","37.800,00",Penta Valen,Over Stock,12 Sep 2022 
1075,OBT2201170002,Vicks Jahe Madu 56 ml,,,2,"2,00",Botol,"54.499,89","0,02%","94,80%",Pareto C,5,"2,00","-3,00","20.427,00",APL ID 293873,Over Stock,20 Sep 2022 
1076,NIZOR1,nizoral  2% cream 5Gr,Obat Bebas Terbatas,,1,"1,00",Tablet,"54.451,05","0,02%","94,82%",Pareto C,2,"1,00","-1,00","40.859,00",KDE (Ka Dua Empat PT),Over Stock,11 Sep 2022 
1077,CgentaZ,C Genta ZM,Obat Keras,,1,"1,00",Tube,"54.426,63","0,02%","94,84%",Pareto C,1,"1,00","0,00","36.375,00",Apotek UII Farma,Stock On Hand,12 Sep 2022 
1078,OzeN 60,Ozen Syr 60 ml,Obat Keras,,1,"1,00",Botol,"54.244,59","0,02%","94,85%",Pareto C,1,"1,00","0,00","37.500,00",AMS (Antarmitra Sembada),Stock On Hand,22 Sep 2022 
1079,0001491,Nebulizer Masker Dewasa GEA,Alat Kesehatan,,3,"3,00",PC,"54.185,76","0,02%","94,87%",Pareto C,2,"3,00","1,00","13.637,00",Dwidaya Langgeng Sentosa,Under Stock,30 Sep 2022 
1080,TRP1,Tropicana Slim LCS Classic 25S,Obat Bebas Terbatas,,2,"2,00",Box,"54.129,15","0,02%","94,89%",Pareto C,1,"2,00","1,00","20.000,00",AMS (Antarmitra Sembada),Under Stock,25 Sep 2022 
1081,S000000000098,Sensi Go Pants M5,Alat Kesehatan,,1,"1,00",PC,"54.078,09","0,02%","94,91%",Pareto C,2,"1,00","-1,00","41.200,00",AMS (Antarmitra Sembada),Over Stock,30 Sep 2022 
1082,A000000000011,Alat Pembersih Kotoran Telinga,Alat Kesehatan,,3,"3,00",PC,"53.579,70","0,02%","94,92%",Pareto C,4,"3,00","-1,00","13.916,00",Dwidaya Langgeng Sentosa,Over Stock,17 Sep 2022 
1083,T000000000042,Tekasol Oint 1% 10g,Obat Keras,,1,"1,00",Tube,"53.568,60","0,02%","94,94%",Pareto C,1,"1,00","0,00","40.950,00",AMS (Antarmitra Sembada),Stock On Hand,09 Sep 2022 
